Id,SalePrice
2658,147897.739109723
2718,180447.9397530382
2414,211883.60090378346
1989,117465.24663057398
625,184573.29592676475
333,89767.84759659503
1327,100575.28578236628
858,133242.413761715
95,197966.77660651042
1568,175846.36733852138
2482,174993.32955168159
1364,128927.009545592
2584,155072.13060946367
818,285611.3397299034
2673,161476.9140706905
2089,134921.33179521537
1297,170057.0565760425
790,107154.21670186901
2616,206602.73964626255
720,201145.99800556438
222,135521.13533765657
557,125196.94606545664
1148,202268.54579495
2766,163440.6559377974
534,192706.09638262528
1452,104470.78009493538
630,130261.9516986346
2648,129120.42486126734
125,161389.1419838298
1904,41321.67080143199
1670,93435.30651227431
756,96843.24478930524
717,253537.33201339957
1032,165696.85179552055
852,217547.94097226288
1731,178577.1738981033
2639,135948.12561755383
2071,117779.24522202891
1267,116764.90569155218
1851,189331.8681052208
567,157794.32261028056
2439,217250.39795698842
1898,156838.9654125237
647,152158.44260962695
2256,234699.65687240212
979,109054.46168871668
1444,225403.15210124297
2485,109631.43309627776
157,114997.30575880934
88,121567.83113170184
2003,103342.51842189056
186,208838.11843791307
1425,249690.86359786987
2695,123814.50027518415
738,108215.07379687605
395,165720.31849512795
1353,161417.4443004358
1878,144147.45464465593
390,176729.57759874672
1456,248651.91338405292
1103,308927.39131383295
1387,133351.78887078835
2070,145535.0993719034
1199,183939.25541050467
2479,180357.93419718728
501,296227.649217479
2362,81997.38727249719
1718,234102.72660957405
2188,69863.41721975016
1483,173391.60815730013
2557,72878.16728198067
437,328124.7728935736
2224,208880.71459095986
1628,185178.2559444324
397,113349.07161480372
587,200391.86074335716
2182,517812.029043941
971,158851.06236348007
2611,146918.34201728215
1887,91048.47659599445
2399,376769.3973778916
2148,206071.64502861706
304,122541.11994568442
1997,138482.11430106932
2817,111306.00290631474
1431,191161.82754130053
427,352131.42232086335
263,117455.53505243106
598,189691.82399271647
2895,233528.22661146292
687,157433.07007038788
1822,126969.00958843454
2191,96413.12591331654
179,137056.55252837314
1009,221957.23012981005
2010,113428.11094844152
1991,146419.9260668971
1411,158156.1357936857
1721,264693.0324385795
1144,197294.09386289003
593,226735.39330871185
575,299353.2415449406
1249,192541.58927111796
1604,115096.34798909507
1064,454821.3596915584
1923,159635.36150433807
1988,101025.01771177215
2325,180321.95636125508
114,201075.93528337
2700,181898.03897448466
217,165133.55900457813
343,191913.72930697282
386,235793.36412478823
2005,119915.12875012291
2908,121170.32760523865
1814,236576.95764313938
2446,421150.8702225789
208,157775.73561173904
1679,120931.16521227907
822,333639.2313009408
6,197024.14893458728
1781,385276.2219223883
2397,301268.7456200452
2340,279960.90761851525
1618,168979.62143559463
2843,130567.20042825548
1061,351550.282783341
2786,108208.32063893805
1935,127649.6739696431
1341,122207.83230629076
521,261565.53516053892
2136,133714.97117017125
996,209426.24860903365
227,151820.72590312274
135,172121.4974053903
1167,172682.6268585162
294,215572.82335824054
1776,192834.40096869782
540,180388.4374563804
1717,231656.82099501317
2303,111186.37561224095
116,202202.7746491786
127,124394.21572711735
1371,129138.35026530562
1014,172112.72630957532
1507,96257.44377354479
702,148254.08348229408
750,151960.03380228888
261,145553.93633741306
1559,65632.95480950022
577,209662.30763376542
2812,202210.61891949718
2080,152378.22452375118
1368,119156.05441823733
2376,124637.35349804453
659,101508.53881649823
1235,114233.98579957387
332,75954.59573611806
1917,146566.3540850955
2094,239661.16506244452
1460,262780.46762110235
1471,213991.01449636614
1509,115413.52259054876
1922,121170.05548155302
433,458373.9198151594
460,313682.2918752953
1116,258822.17025314918
1137,181218.1175688948
53,181317.9486544384
2354,249690.1937944009
1475,193794.05199142682
1761,446047.57037693216
842,139086.00355174526
2739,164886.48717569583
2509,174234.56711195974
1007,213525.07787775536
2610,193738.54008113858
1952,76883.83516766828
2719,183814.95478262322
2921,88989.1750410106
1966,131383.7063286046
292,122152.10159990797
1204,210824.03502161207
1829,243145.384547558
2419,190337.99696076053
391,161698.7671434398
798,116266.40702968344
481,214379.88085755327
193,204822.22466198617
555,111210.23993677729
899,74677.06682232072
2357,197681.541245109
328,134880.02920626968
1356,124779.18370232946
1154,99228.52366435736
1730,184806.9235607275
2249,160702.70869447832
1119,270706.6266889423
2856,137137.12171421474
1394,133284.23381326743
2587,120184.04420571009
61,280035.17218628223
2661,191619.27560229087
2711,125455.43888748361
1147,188516.0589487148
757,139102.93741413666
2623,84529.61520626384
2378,161753.05403702657
1413,136629.12663186167
1722,253778.0049386447
1112,213807.74716055125
1623,198760.1947235954
1201,197750.3597493795
1513,114099.93663729877
957,244812.93927715963
1171,267008.8879509954
1145,207646.22069120276
2726,219835.6467354407
703,164449.0613113793
760,81010.30743709303
1964,140483.39422202721
2512,191412.5099702799
159,164123.58958575904
1281,187014.35592271073
468,184209.01603713323
290,124275.36330806601
665,107058.3020129514
1463,253635.87223003263
1792,223645.14052299925
923,127431.54075040738
500,277427.4283628453
1408,174282.79790622302
331,59932.726330263526
170,147512.75877335697
2192,88298.90353847921
2571,294158.94343864685
2314,178683.2081774436
2647,81319.65308567007
422,433472.47468856286
2457,318500.5206951329
1838,204393.53199227332
2805,242829.92587889417
1645,158595.0957774271
1711,302700.2479562372
2825,240609.3019886904
322,323721.4782299828
2103,256629.29873239133
342,118028.62051832669
600,110203.14796709221
488,183546.0229724827
1725,333572.2530138716
2246,271851.5247089597
2847,171326.75775446097
806,252886.25344111607
530,229071.07687750226
963,198168.12171423266
2678,69971.88696200681
171,81122.58701023809
2401,430547.48382631683
805,229179.4238198941
2259,249196.46018936322
1748,200131.5309633624
1361,135589.12039604096
1677,131193.55926259124
1406,161110.66622946545
2322,223565.45536653802
688,166686.60836461847
143,135576.9152537532
804,206703.96973936836
1214,170510.9168484678
2828,163995.19822620522
1999,209176.37072874664
2467,196286.4868152463
2665,169497.8687989745
1538,325512.3867515422
398,106264.95642730671
2822,126323.33892491418
2157,163156.00897636506
1856,174519.23032083313
1269,102191.76979719626
2570,115284.22547521655
2320,245296.81208917036
1517,131223.90553502648
2304,108165.4959710516
1312,94781.15625788664
2012,142147.9518068521
506,227409.50285727638
2865,187155.25366241607
2367,120833.01361688317
554,103449.50444949395
238,124126.13719032127
1954,90361.63737569014
2488,161768.61922091604
2291,87792.74694504436
1969,95547.28534531905
2725,168667.08068289424
1482,173391.60815730013
2763,206408.29235646047
503,246756.28500394293
1584,244314.82994750427
1531,152108.2387722619
2210,170481.46485354198
459,351418.1761953799
556,124764.10850870398
1347,144832.40943286647
1290,72857.64536423242
1388,100978.22911458055
1571,197187.72660030474
2754,205421.1783344286
765,137691.39340255992
2494,114394.3332347908
2870,209366.62030816838
7,224075.97553459927
1114,243080.20306430693
2418,267389.73810340796
291,131070.93152021614
18,315860.67059790273
39,381021.8703217369
1001,253841.32885827415
2442,234687.5640089391
616,120007.79093362326
2680,54849.44632506216
1414,107101.39030558377
289,137075.69321406467
40,268464.90212583693
860,131364.4481019857
409,146510.46433764428
673,147088.2500355694
2427,181044.70804071092
2036,215710.06081303896
2564,138140.61718223678
642,176261.03965233173
1008,182915.01174411154
1908,154941.92690536278
2519,232345.2763138019
1369,97216.25819924973
2855,164725.07571716915
712,81237.1942153361
1943,95642.79940136264
1958,128257.60530516779
107,191134.18181512388
2295,213797.9813469609
704,93515.80696497581
676,122536.94787627534
259,189251.92038219701
93,283356.32915855607
106,245859.04323012222
2315,184407.22580293272
1050,100844.11788844467
1095,215789.9523564661
2709,144255.73785959973
758,156926.76981944675
1496,170057.72794600012
2370,130055.54549535424
2458,269134.3782677832
2733,139920.87899784287
161,267522.050593531
726,169711.20574050094
845,214119.0221309888
947,258853.20246760722
2232,120533.00217221229
2563,160841.90516933094
2299,132656.2668404312
211,97992.13383276926
605,165537.22549419504
1478,204869.074446487
2247,272965.9589120268
2274,205506.3819022057
2869,203209.97323830516
967,215594.74423505482
2656,92875.59589137655
667,227442.5881718683
1042,125205.05142153989
2023,164613.61661425722
2447,354436.29865954735
2055,114594.196187445
2275,260118.3073833057
2204,166389.51392728658
1563,259264.2896228142
483,251722.18947501085
796,133074.52512174915
1526,133647.3993387336
2042,200605.88900031731
442,371566.5219826469
1693,305475.8825847405
1468,225480.53199898213
1430,172380.05757727733
2605,188727.02435563336
1529,188008.04764171457
335,119932.77560518311
1287,131409.55401212233
31,114004.71721151815
1785,297215.9426283986
82,158061.0683494891
2620,119660.0190075761
252,201632.18616484798
721,63614.65279439262
2165,188120.32057200806
2316,190522.93369158247
775,129731.70578234244
1558,133474.73497237757
17,217576.37373267068
1022,227746.6919915686
925,109676.3082414855
438,287170.44171213143
1270,136301.77136525186
1272,110940.95327261061
215,144772.14033805428
266,230752.16708465762
2402,285968.1729421023
1250,124687.57333951254
1984,122370.66053842356
1279,146147.53244910267
377,253710.91416421463
1252,149044.33483608498
2156,273145.86790489964
499,319945.1328532415
1374,109925.39337784423
2898,244347.43845430648
401,102977.61289869601
2721,174628.12457802836
2078,240903.349447248
2589,109451.4492771939
1946,228784.26137850358
1334,119947.5859732554
2781,226759.6603409255
431,396069.46580384637
576,229655.08878581453
1474,216541.80145411583
2254,129747.86554360436
2155,285379.9276997453
885,114948.89895086957
643,119242.69777847346
1944,126734.90681469819
480,204482.63253203715
2845,100467.70524379106
2387,304399.5107583924
2407,229572.44049606065
2527,173618.33273003122
2514,167813.34251637984
629,177042.62337568885
80,207496.3997905026
1876,137368.75421912275
1546,120505.27600535307
2518,174908.37261348564
2347,171685.576373343
783,193275.52446743226
1322,87505.6352419371
194,70548.69581732475
1770,286681.93293990905
2143,141314.52406163444
1229,217081.7230454893
511,282334.111237447
46,248442.10082108184
1348,182765.16989734772
2465,194922.30032604907
387,240832.85833413157
873,222352.98543163028
1918,120050.56385143365
2764,247593.63821005946
2184,117545.50737831183
934,167816.55789451496
1920,130287.25084353478
2631,161566.3116062534
1768,494550.40635353443
2040,110684.32887545181
1749,219545.3734859413
834,224925.19030949892
1457,235896.99641422785
79,118071.03695092056
2302,106620.37232716277
1817,137821.30757703193
2755,232422.91502089004
