,Id,SalePrice
0,6,404254.22683782334
1,7,286677.57392429415
2,17,192802.1727040117
3,18,229520.0448584088
4,27,260743.00707395596
5,31,264706.3890527281
6,39,262922.80517859163
7,40,102706.58270017678
8,46,98326.8625352335
9,53,175764.2753464676
10,61,154793.54841139683
11,72,239211.20330061868
12,79,120153.89825714756
13,82,270289.8862619031
14,83,143951.95683833942
15,85,236622.31816861406
16,88,205350.54932644448
17,93,137909.8097025837
18,95,145179.27696779702
19,103,115285.24648717207
20,106,171188.13757333969
21,107,100916.51786483466
22,110,138125.0036610529
23,116,190639.6548420262
24,125,211374.97029915403
25,127,114242.42858951472
26,128,173814.7331842516
27,135,87639.10868386875
28,143,147399.91198911337
29,148,223743.3892881332
30,150,276813.84168685396
31,156,101687.44033278695
32,157,175686.36037898416
33,159,129755.11088726751
34,161,112654.96096289565
35,167,120489.78945991915
36,170,154207.1347479491
37,179,289313.0302111039
38,186,299159.61897725565
39,194,213582.16254884787
40,206,168962.0210182908
41,208,206547.62099437386
42,211,120007.32629090564
43,215,368385.2933731817
44,227,208278.18758531366
45,235,201268.4406892531
46,238,258211.08534235528
47,241,156736.64976436624
48,252,146498.08811509036
49,253,200852.11099252355
50,256,259675.5120334907
51,257,131558.96101763175
52,259,189544.3881361849
53,263,286709.5636508466
54,266,195812.67756738525
55,288,349145.97251945233
56,289,329466.9811968842
57,293,172723.89091688485
58,294,195113.3445521013
59,295,98654.25784167559
60,304,135595.06816915347
61,322,126503.09687356293
62,328,231905.8988163786
63,333,210889.85142352787
64,342,125766.79691255369
65,343,212133.6890411851
66,350,220058.2931457375
67,390,129273.42361917789
68,391,125675.86692779309
69,395,324273.69413531706
70,398,150025.6340372482
71,401,87798.70842966455
72,410,226445.12486974397
73,418,220145.2801364238
74,422,243958.38668302342
75,427,294753.6987111453
76,431,132332.7377180972
77,433,164448.2233482678
78,437,190042.97770230833
79,438,117095.15216138857
80,442,305004.21532514587
81,459,263407.17235173966
82,460,198918.90002422297
83,467,187674.87423645586
84,468,166189.98200744292
85,480,164896.88583747583
86,483,140130.06585273755
87,488,193252.95950808327
88,499,222438.8947130826
89,500,189086.89213832567
